207.46.13.14 bot - "2024-02-13 00:05:29" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/view/143 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
66.249.79.4 bot - "2024-02-13 00:05:59" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/download/125/97/373 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.3 bot - "2024-02-13 00:08:08" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/article/download/74/49/217 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
185.191.171.9 bot - "2024-02-13 00:10:14" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/view/124 200 "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)"
185.191.171.4 bot - "2024-02-13 00:11:24" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/view/102 200 "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)"
182.1.107.62 administrative 42 "2024-02-13 00:12:35" http://jurnal.untag-banyuwangi.ac.id/index.php/j-tech/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:122.0) Gecko/20100101 Firefox/122.0"
66.249.79.5 bot - "2024-02-13 00:16:03" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/article/view/83 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.6 bot - "2024-02-13 00:20:51" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/download/137/107/412 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
185.191.171.6 bot - "2024-02-13 00:22:36" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/article/download/76/51/219 200 "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)"
207.46.13.141 bot - "2024-02-13 00:24:35" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/download/43/19/186 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
66.249.79.100 bot - "2024-02-13 00:26:56" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/article/download/70/52/220 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
